trial,batch_size,success_count,total_time,avg_time,throughput
15,50,50,0.00716439999999996,0.0001432879999999992,6978.951482329334
15,100,100,0.01884259999999993,0.00018842599999999932,5307.12322078696
16,1,1,0.00013569999999996085,0.00013569999999996085,7369.196757555553
16,5,5,0.0005948999999998428,0.00011897999999996856,8404.773911584
16,10,10,0.0012114000000000846,0.00012114000000000847,8254.911672444528
16,20,20,0.002593400000000079,0.00012967000000000395,7711.884013264205
16,50,50,0.005945400000000101,0.00011890800000000201,8409.863087428794
16,100,100,0.010541499999999981,0.00010541499999999982,9486.315989185616
17,1,1,0.00011410000000000586,0.00011410000000000586,8764.241893075798
17,5,5,0.0005173999999996681,0.00010347999999993363,9663.703131046013
17,10,10,0.0010684999999996947,0.00010684999999996947,9358.914365936225
17,20,20,0.002120899999999981,0.00010604499999999906,9429.958979678522
17,50,50,0.0054413999999995966,0.00010882799999999193,9188.811702871266
17,100,100,0.011073699999999853,0.00011073699999999853,9030.405374897398
18,1,1,0.0001242999999999661,0.0001242999999999661,8045.052292842097
18,5,5,0.000617899999999949,0.00012357999999998981,8091.924259589598
18,10,10,0.0010070999999998165,0.00010070999999998165,9929.50054612434
18,20,20,0.0020137999999998435,0.00010068999999999218,9931.472837422561
18,50,50,0.005125399999999836,0.00010250799999999671,9755.336168884693
18,100,100,0.01060210000000028,0.00010602100000000281,9432.093641825426
19,1,1,0.00010839999999978644,0.00010839999999978644,9225.092250940683
19,5,5,0.0004795999999998024,9.591999999996048e-05,10425.354462056004
19,10,10,0.0009521999999999586,9.521999999999587e-05,10501.995379122489
19,20,20,0.001970999999999723,9.854999999998615e-05,10147.133434806094
19,50,50,0.004999399999999987,9.998799999999975e-05,10001.200144017308
19,100,100,0.012207399999999868,0.00012207399999999868,8191.752543539253
